Name,Conference,Division,State,Links
"California State University, East Bay",California Collegiate Athletic Association,II,CA,"www.csueastbay.edu
www.eastbaypioneers.com"
"California State University, Fresno",Mountain West Conference,I-FBS,CA,"www.fresnostate.edu
www.gobulldogs.com"
"California State University, Fullerton",Big West Conference,I,CA,"www.fullerton.edu
www.fullertontitans.com"
"California State University, Los Angeles",California Collegiate Athletic Association,II,CA,"www.calstatela.edu
www.lagoldeneagles.com"
"California State University, Monterey Bay",California Collegiate Athletic Association,II,CA,"www.csumb.edu
www.otterathletics.com"
"California State University, Northridge",Big West Conference,I,CA,"www.csun.edu
www.GoMatadors.com"
"California State University, Sacramento",Big Sky Conference,I-FCS,CA,"www.csus.edu
www.hornetsports.com"
"California State University, San Bernardino",California Collegiate Athletic Association,II,CA,"www.csusb.edu
www.csusbathletics.com"
"California State University, San Marcos",California Collegiate Athletic Association,II,CA,"www.csusm.edu
csusmcougars.com"
"California State University, Stanislaus",California Collegiate Athletic Association,II,CA,"www.csustan.edu
www.warriorathletics.com"
California University of Pennsylvania,Pennsylvania State Athletic Conference,II,PA,"www.calu.edu
www.calvulcans.com"
Calvin University,Michigan Intercol. Ath. Assn.,III,MI,"www.calvin.edu
calvinknights.com"
Cameron University,Lone Star Conference,II,OK,"www.cameron.edu
cameronaggies.com"
Campbell University,Big South Conference,I-FCS,NC,"www.campbell.edu
www.gocamels.com"
Canisius College,Metro Atlantic Athletic Conference,I,NY,"www.canisius.edu
www.gogriffs.com"
Capital University,Ohio Athletic Conference,III,OH,"www.capital.edu
www.capital.edu/athletics"
Carleton College,Minnesota Intercollegiate Athletic Conference,III,MN,"www.carleton.edu
apps.carleton.edu/athletics/"
Carnegie Mellon University,University Athletic Association,III,PA,"www.cmu.edu/
athletics.cmu.edu"
Carroll University (Wisconsin),College Conference of Illinois & Wisconsin,III,WI,"www.carrollu.edu
www.gopios.com"
Carson-Newman University,South Atlantic Conference,II,TN,"www.cn.edu
cneagles.com"
Carthage College,College Conference of Illinois & Wisconsin,III,WI,"www.carthage.edu
athletics.carthage.edu"
Case Western Reserve University,University Athletic Association,III,OH,"www.case.edu
athletics.case.edu"
Castleton University,Little East Conference,III,VT,"www.castleton.edu
www.castletonsports.com/landing/index"
Catawba College,South Atlantic Conference,II,NC,"www.catawba.edu
www.gocatawbaindians.com"
Catholic University,Landmark Conference,III,DC,"www.catholic.edu
www.catholicathletics.com/"
Cazenovia College,North Atlantic Conference,III,NY,"www.cazenovia.edu
www.cazenoviawildcats.com"
Cedar Crest College,Colonial States Athletic Conference,III,PA,"www.cedarcrest.edu
www.cedarcrestathletics.com"
Cedarville University,Great Midwest Athletic Conference,II,OH,"www.cedarville.edu
www.yellowjackets.cedarville.edu"
Centenary College (Louisiana),Southern Collegiate Athletic Conference,III,LA,"www.centenary.edu
www.GoCentenary.com"
Centenary University (New Jersey),Atlantic East Conference,III,NJ,"www.centenaryuniversity.edu
www.centenarycyclones.com"
Central College (Iowa),American Rivers Conference,III,IA,"www.central.edu
www.central.edu/athletics"
Central Connecticut State University,Northeast Conference,I-FCS,CT,"www.ccsu.edu
www.ccsubluedevils.com"
Central Michigan University,Mid-American Conference,I-FBS,MI,"www.cmich.edu
www.cmuchippewas.com"
Central State University,Southern Intercol. Ath. Conf.,II,OH,"www.centralstate.edu
www.maraudersports.com"
Central Washington University,Great Northwest Athletic Conference,II,WA,"cwu.edu
wildcatsports.com"
Centre College,Southern Athletic Association,III,KY,"www.centre.edu
www.centrecolonels.com"
Chadron State College,Rocky Mountain Athletic Conference,II,NE,"www.csc.edu
www.chadroneagles.com"
Chaminade University,Pacific West Conference,II,HI,"www.chaminade.edu
goswords.com/"
Chapman University,Southern California Intercollegiate Athletic Conf.,III,CA,"www.chapman.edu
www.chapmanathletics.com"
Charleston Southern University,Big South Conference,I-FCS,SC,"https://www.charlestonsouthern.edu/
csusports.com/"
Chatham University,Presidents' Athletic Conference,III,PA,"www.chatham.edu
www.gochathamcougars.com"
Chestnut Hill College,Central Atlantic Collegiate Conference,II,PA,"www.chc.edu
www.griffinathletics.com"
Chicago State University,Western Athletic Conference,I,IL,"www.csu.edu
www.gocsucougars.com"
Chowan University,Conference Carolinas,II,NC,"www.chowan.edu
www.gocuhawks.com"
Christian Brothers University,Gulf South Conference,II,TN,"www.cbu.edu
www.cbubucs.com"
Christopher Newport University,Coast-To-Coast Athletic Conference,III,VA,"www.cnu.edu
CNUsports.com"
Claflin University,Central Intercollegiate Athletic Association,II,SC,"www.claflin.edu
athletics.claflin.edu"
Claremont McKenna-Harvey Mudd-Scripps Colleges,Southern California Intercollegiate Athletic Conf.,III,CA,"www.claremontmckenna.edu
www.cmsathletics.org"
Clarion University of Pennsylvania,Pennsylvania State Athletic Conference,II,PA,"www.clarion.edu
www.clariongoldeneagles.com"
Clark Atlanta University,Southern Intercol. Ath. Conf.,II,GA,"www.cau.edu
www.clarkatlantasports.com"
Clark University (Massachusetts),New England Women's and Men's Athletic Conference,III,MA,"www.clarku.edu
https://clarkathletics.com/landing/index"
Clarks Summit University,Colonial States Athletic Conference,III,PA,"www.clarkssummitu.edu
www.gocsudefenders.com"
Clarkson University,Liberty League,III,NY,"www.clarkson.edu
www.clarksonathletics.com"
Clayton State University,Peach Belt Conference,II,GA,"www.clayton.edu
www.claytonstatesports.com"
Clemson University,Atlantic Coast Conference,I-FBS,SC,"clemson.edu
clemsontigers.com"
Cleveland State University,Horizon League,I,OH,"www.csuohio.edu
www.csuvikings.com"
Coastal Carolina University,Sun Belt Conference,I-FBS,SC,"www.coastal.edu
www.goccusports.com"
Coe College,American Rivers Conference,III,IA,"www.coe.edu
www.kohawkathletics.com"
Coker University,South Atlantic Conference,II,SC,"www.coker.edu
www.cokercobras.com/"
Colby College,New England Small College Athletic Conference,III,ME,"www.colby.edu
www.colby.edu/athletics"
Colby-Sawyer College,Great Northeast Athletic Conference,III,NH,"www.colby-sawyer.edu
www.colby-sawyerathletics.com/"
Colgate University,Patriot League,I-FCS,NY,"www.colgate.edu
gocolgateraiders.com"
College of Charleston (South Carolina),Colonial Athletic Association,I,SC,"www.cofc.edu
www.cofcsports.com"
College of Mount Saint Vincent,Skyline Conference,III,NY,"www.mountsaintvincent.edu
cmsvathletics.com/"
College of Saint Benedict,Minnesota Intercollegiate Athletic Conference,III,MN,"www.csbsju.edu
www.gobennies.com"
College of Staten Island,East Coast Conference,III,NY,"www.csi.cuny.edu
www.csidolphins.com"
College of the Holy Cross,Patriot League,I-FCS,MA,"www.holycross.edu
goholycross.com/"
Colorado Christian University,Rocky Mountain Athletic Conference,II,CO,"www.ccu.edu
www.ccucougars.com"
Colorado College,Southern Collegiate Athletic Conference,III,CO,"www.coloradocollege.edu/
www.cctigers.com"
Colorado Mesa University,Rocky Mountain Athletic Conference,II,CO,"coloradomesa.edu
cmumavericks.com"
Colorado School of Mines,Rocky Mountain Athletic Conference,II,CO,"mines.edu
minesathletics.com"
Colorado State University,Mountain West Conference,I-FBS,CO,"www.colostate.edu
www.csurams.com"
Colorado State University Pueblo,Rocky Mountain Athletic Conference,II,CO,"www.csupueblo.edu
www.gothunderwolves.com"
Columbia University-Barnard College,The Ivy League,I-FCS,NY,"www.columbia.edu
www.gocolumbialions.com/"
Columbus State University,Peach Belt Conference,II,GA,"www.columbusstate.edu
csucougars.com"
Concord University,Mountain East Conference,II,WV,"www.concord.edu
www.cumountainlions.com"
"Concordia College, Moorhead",Minnesota Intercollegiate Athletic Conference,III,MN,"www.concordiacollege.edu
www.gocobbers.com"
Concordia University Chicago,Northern Athletics Collegiate Conference,III,IL,"www.cuchicago.edu
www.CUCougars.com"
Concordia University Irvine,Pacific West Conference,II,CA,"www.cui.edu
www.cuieagles.com"
Concordia University Texas,American Southwest Conference,III,TX,"www.concordia.edu/
athletics.concordia.edu/index.aspx"
Concordia University Wisconsin,Northern Athletics Collegiate Conference,III,WI,"www.cuw.edu
www.cuwfalcons.com"
"Concordia University, St. Paul",Northern Sun Intercollegiate Conference,II,MN,"www.csp.edu
cspbears.com/index.aspx"
Connecticut College,New England Small College Athletic Conference,III,CT,"www.conncoll.edu
https://camelathletics.com/"
Converse University,Conference Carolinas,II,SC,"www.converse.edu
govalkyries.com"
Coppin State University,Mid-Eastern Athletic Conf.,I,MD,"www.coppin.edu
www.coppinstatesports.com"
Cornell College,Midwest Conference,III,IA,"www.cornellcollege.edu
www.cornellrams.com"
Cornell University,The Ivy League,I-FCS,NY,"www.cornell.edu
www.cornellbigred.com"
Covenant College,USA South Athletic Conference,III,GA,"www.covenant.edu
athletics.covenant.edu/"
Creighton University,Big East Conference,I,NE,"www.creighton.edu/node/165768
gocreighton.com/"
Crown College (Minnesota),Upper Midwest Athletic Conference,III,MN,"www.crown.edu
www.athletics.crown.edu"
Curry College,Commonwealth Coast Conference,III,MA,"www.curry.edu
www.curryathletics.com"
D'Youville College,East Coast Conference,III,NY,"www.dyc.edu
athletics.dyc.edu"
Daemen College,East Coast Conference,II,NY,"www.daemen.edu
wildcats.daemen.edu"
Dallas Baptist University,Lone Star Conference,II,TX,"www.dbu.edu
www.dbupatriots.com"
Dartmouth College,The Ivy League,I-FCS,NH,"www.dartmouth.edu
www.dartmouthsports.com"
Davenport University,Great Lakes Intercollegiate Athletic Conference,II,MI,"www.davenport.edu/
dupanthers.com"
Davidson College,Atlantic 10 Conference,I-FCS,NC,"www.davidson.edu
www.davidsonwildcats.com"
Davis & Elkins College,Mountain East Conference,II,WV,"www.dewv.edu
www.senatornation.com"
Dean College,Great Northeast Athletic Conference,III,MA,"https://www.dean.edu/
www.deanbulldogs.com/landing/index"
Defiance College,Heartland Collegiate Athletic Conference,III,OH,"www.defiance.edu
www.defianceathletics.com/"
Delaware State University,Mid-Eastern Athletic Conf.,I-FCS,DE,"www.desu.edu
www.dsuhornets.com/"
Delaware Valley University,Middle Atlantic Conferences,III,PA,"www.delval.edu
www.delval.edu/athletics"
Delta State University,Gulf South Conference,II,MS,"www.deltastate.edu
www.gostatesmen.com"
Denison University,North Coast Athletic Conference,III,OH,"www.denison.edu
www.denisonbigred.com"
DePaul University,Big East Conference,I,IL,"www.depaul.edu
www.depaulbluedemons.com"
DePauw University,North Coast Athletic Conference,III,IN,"www.depauw.edu
depauwtigers.com/landing/index"
DeSales University,Middle Atlantic Conferences,III,PA,"www.desales.edu
athletics.desales.edu"
Dickinson College,Centennial Conference,III,PA,"www.dickinson.edu
www.dickinsonathletics.com"
Dixie State University,Western Athletic Conference,II,UT,"www.dixie.edu
www.dixiestateathletics.com"
Dominican College (New York),Central Atlantic Collegiate Conference,II,NY,"www.dc.edu
www.chargerathletics.com"
Dominican University (Illinois),Northern Athletics Collegiate Conference,III,IL,"www.dom.edu
www.dustars.com"
Dominican University of California,Pacific West Conference,II,CA,"www.dominican.edu
www.dominicanathletics.com"
Drake University,Missouri Valley Conference,I-FCS,IA,"https://www.drake.edu/
https://godrakebulldogs.com/"
Drew University,Landmark Conference,III,NJ,"www.drew.edu
www.drewrangers.com"
Drexel University,Colonial Athletic Association,I,PA,"www.drexel.edu
www.drexeldragons.com"
Drury University,Great Lakes Valley Conference,II,MO,"www.drury.edu
www.drurypanthers.com/"
Duke University,Atlantic Coast Conference,I-FBS,NC,"www.duke.edu
www.goduke.com"
Duquesne University,Atlantic 10 Conference,I-FCS,PA,"www.duq.edu
www.GoDuquesne.com"
Earlham College,Heartland Collegiate Athletic Conference,III,IN,"www.earlham.edu
www.goearlham.com"
East Carolina University,American Athletic Conference,I-FBS,NC,"www.ecu.edu
www.ecupirates.com"
East Central University,Great American Conference,II,OK,"www.ecok.edu
ecutigers.com/"
East Stroudsburg University of Pennsylvania,Pennsylvania State Athletic Conference,II,PA,"www.esu.edu
esuwarriors.com"
East Tennessee State University,Southern Conference,I-FCS,TN,"www.etsu.edu
www.etsubucs.com/"
East Texas Baptist University,American Southwest Conference,III,TX,"www.etbu.edu
www.goetbutigers.com"
Eastern Connecticut State University,Little East Conference,III,CT,"www.easternct.edu
gowarriorathletics.com"
Eastern Illinois University,Ohio Valley Conference,I-FCS,IL,"www.eiu.edu
www.eiupanthers.com"
Eastern Kentucky University,ASUN Conference,I-FCS,KY,"www.eku.edu
www.ekusports.com"
Eastern Mennonite University,Old Dominion Athletic Conf.,III,VA,"www.emu.edu
www.emuroyals.com"
Eastern Michigan University,Mid-American Conference,I-FBS,MI,"www.emich.edu/
www.emueagles.com"
Eastern Nazarene College,New England Collegiate Conference,III,MA,"www.enc.edu
www.enc.edu/athletics"
Eastern New Mexico University,Lone Star Conference,II,NM,"www.enmu.edu
www.goeasternathletics.com"
Eastern University,Middle Atlantic Conferences,III,PA,"www.eastern.edu
www.goeasterneagles.com"
Eastern Washington University,Big Sky Conference,I-FCS,WA,"www.ewu.edu/
goeags.com"
Eckerd College,Sunshine State Conference,II,FL,"www.eckerd.edu/
www.eckerdtritons.com"
Edgewood College,Northern Athletics Collegiate Conference,III,WI,"www.edgewood.edu
www.EdgewoodCollegeEagles.com"
Edinboro University of Pennsylvania,Pennsylvania State Athletic Conference,II,PA,"www.edinboro.edu
www.gofightingscots.com"
Elizabeth City State University,Central Intercollegiate Athletic Association,II,NC,"www.ecsu.edu
www.ecsuvikings.com"
Elizabethtown College,Landmark Conference,III,PA,"www.etown.edu
www.etownbluejays.com"
Elmhurst University,College Conference of Illinois & Wisconsin,III,IL,"public.elmhurst.edu/
www.elmhurst.edu"
Elmira College,Empire 8,III,NY,"www.elmira.edu
athletics.elmira.edu"
Elms College,Great Northeast Athletic Conference,III,MA,"www.elms.edu
ecblazers.com"
Elon University,Colonial Athletic Association,I-FCS,NC,"www.elon.edu
www.elonphoenix.com"
Embry-Riddle Aeronautical University (Florida),Sunshine State Conference,II,FL,"www.erau.edu
www.erauathletics.com"
Emerson College,New England Women's and Men's Athletic Conference,III,MA,"www.emerson.edu
www.emersonlions.com"
Emmanuel College (Georgia),Conference Carolinas,II,GA,"www.ec.edu
www.goeclions.com"
Emmanuel College (Massachusetts),Great Northeast Athletic Conference,III,MA,"www.emmanuel.edu
www.goecsaints.com"
Emory & Henry College,South Atlantic Conference,III,VA,"www.ehc.edu
www.gowasps.com"
Emory University,University Athletic Association,III,GA,"www.emory.edu
www.emoryathletics.com"
Emporia State University,Mid-America Intercollegiate Athletics Association,II,KS,"www.emporia.edu
www.esuhornets.com"
Endicott College,Commonwealth Coast Conference,III,MA,"www.endicott.edu
www.ecgulls.com"
Erskine College,Conference Carolinas,II,SC,"www.erskine.edu
www.erskinesports.com"
Eureka College,St. Louis Intercollegiate Athletic Conference,III,IL,"www.eureka.edu
www.eurekareddevils.com"
Fairfield University,Metro Atlantic Athletic Conference,I,CT,"fairfield.edu
fairfieldstags.com"
"Fairleigh Dickinson University, Florham",Middle Atlantic Conferences,III,NJ,"www.fdu.edu
www.fdudevils.com"
"Fairleigh Dickinson University, Metropolitan Campus",Northeast Conference,I,NJ,"www.fdu.edu
www.fduknights.com"
Fairmont State University,Mountain East Conference,II,WV,"www.fairmontstate.edu
www.fightingfalcons.com"
Farmingdale State College,Skyline Conference,III,NY,"www.farmingdale.edu
www.farmingdalesports.com"
Fayetteville State University,Central Intercollegiate Athletic Association,II,NC,"www.uncfsu.edu
fsubroncos.com"
Felician University,Central Atlantic Collegiate Conference,II,NJ,"www.felician.edu
www.felicianathletics.com"
Ferris State University,Great Lakes Intercollegiate Athletic Conference,II,MI,"www.ferris.edu
www.ferrisstatebulldogs.com"
Ferrum College,Old Dominion Athletic Conf.,III,VA,"www.ferrum.edu
www.ferrumpanthers.com"
Finlandia University,Coast-To-Coast Athletic Conference,III,MI,"www.finlandia.edu
www.fulions.com"
Fitchburg State University,Massachusetts State Collegiate Athletic Conference,III,MA,"www.fitchburgstate.edu
www.fitchburgfalcons.com"
Flagler College,Peach Belt Conference,II,FL,"www.flagler.edu
www.flaglerathletics.com/"
Florida A&M University,Southwestern Athletic Conf.,I-FCS,FL,"www.famu.edu
www.famuathletics.com/"
Florida Atlantic University,Conference USA,I-FBS,FL,"www.fau.edu
www.fausports.com"
Florida Gulf Coast University,ASUN Conference,I,FL,"https://www.fgcu.edu/
fgcuathletics.com/"
Florida Institute of Technology,Sunshine State Conference,II,FL,"https://www.fit.edu/
https://floridatechsports.com/"
Florida International University,Conference USA,I-FBS,FL,"www.fiu.edu
www.fiusports.com"
Florida Southern College,Sunshine State Conference,II,FL,"www.flsouthern.edu
www.fscmocs.com"
Florida State University,Atlantic Coast Conference,I-FBS,FL,"www.fsu.edu
www.seminoles.com"
Fontbonne University,St. Louis Intercollegiate Athletic Conference,III,MO,"www.fontbonne.edu
www.fontbonnegriffins.com"
Fordham University,Atlantic 10 Conference,I-FCS,NY,"www.fordham.edu
www.fordhamsports.com"
Fort Hays State University,Mid-America Intercollegiate Athletics Association,II,KS,"www.fhsu.edu
www.fhsuathletics.com"
Fort Lewis College,Rocky Mountain Athletic Conference,II,CO,"www.fortlewis.edu
www.goskyhawks.com"
Fort Valley State University,Southern Intercol. Ath. Conf.,II,GA,"www.fvsu.edu
https://fvsusports.com/index.aspx"
Framingham State University,Massachusetts State Collegiate Athletic Conference,III,MA,"www.framingham.edu
www.fsurams.com"
